ID_Elemento,URL_Partido
match-row-g_3_0IkKmIzp,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/gran-canaria-QmfIiWgr/?mid=0IkKmIzp
match-row-g_3_lvWE9ac3,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/tenerife-OfgZ0mtF/?mid=lvWE9ac3
match-row-g_3_p6PN7wSF,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/unicaja-K6HkdCoR/?mid=p6PN7wSF
match-row-g_3_vasF9TXq,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/tenerife-OfgZ0mtF/?mid=vasF9TXq
match-row-g_3_Ec7teUIj,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/valencia-6w8lqYGE/?mid=Ec7teUIj
match-row-g_3_OETFvubT,https://www.flashscore.com/match/basketball/rio-breogan-tW3U1TQ8/san-pablo-burgos-MNsJGyjB/?mid=OETFvubT
match-row-g_3_MkXbrNb4,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/unicaja-K6HkdCoR/?mid=MkXbrNb4
match-row-g_3_6ifSIXAc,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/forca-lleida-djAofPme/?mid=6ifSIXAc
match-row-g_3_UFz7t1TG,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/zaragoza-SGiReo1g/?mid=UFz7t1TG
match-row-g_3_2JmyHBuA,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/saski-baskonia-8zQPdU9R/?mid=2JmyHBuA
match-row-g_3_fR5rFkAM,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/murcia-Sju1Skf8/?mid=fR5rFkAM
match-row-g_3_KpFoZILj,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/manresa-KAm6vlvR/?mid=KpFoZILj
match-row-g_3_8dS12CQG,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/san-pablo-burgos-MNsJGyjB/?mid=8dS12CQG
match-row-g_3_vHzo6fRi,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/saski-baskonia-8zQPdU9R/?mid=vHzo6fRi
match-row-g_3_O8hbriZp,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/bilbao-GWZ15Sne/?mid=O8hbriZp
match-row-g_3_0zqjpqUi,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/murcia-Sju1Skf8/?mid=0zqjpqUi
match-row-g_3_fDQ90jeT,https://www.flashscore.com/match/basketball/unicaja-K6HkdCoR/valencia-6w8lqYGE/?mid=fDQ90jeT
match-row-g_3_ruEVtANa,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/manresa-KAm6vlvR/?mid=ruEVtANa
match-row-g_3_YTj4Muxo,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/tenerife-OfgZ0mtF/?mid=YTj4Muxo
match-row-g_3_nsvg4Ye4,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/rio-breogan-tW3U1TQ8/?mid=nsvg4Ye4
match-row-g_3_GhCwulhC,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/zaragoza-SGiReo1g/?mid=GhCwulhC
match-row-g_3_QDABieCb,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/zaragoza-SGiReo1g/?mid=QDABieCb
match-row-g_3_Sx7SmDBN,https://www.flashscore.com/match/basketball/rio-breogan-tW3U1TQ8/valencia-6w8lqYGE/?mid=Sx7SmDBN
match-row-g_3_YwEJkZtB,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/real-madrid-MP6gLUO7/?mid=YwEJkZtB
match-row-g_3_zZj4QlwJ,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/tenerife-OfgZ0mtF/?mid=zZj4QlwJ
match-row-g_3_4bM2gHsn,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/saski-baskonia-8zQPdU9R/?mid=4bM2gHsn
match-row-g_3_GUTjlhVP,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/murcia-Sju1Skf8/?mid=GUTjlhVP
match-row-g_3_rRYdSA86,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/san-pablo-burgos-MNsJGyjB/?mid=rRYdSA86
match-row-g_3_naulUWwf,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/fundacion-granada-AgZ54n21/?mid=naulUWwf
match-row-g_3_nDKMrWhm,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/unicaja-K6HkdCoR/?mid=nDKMrWhm
