matchId,eventTime,homeTeam,awayTeam
"g_3_0jgIXMoo","08.04. 17:30","Anadolu Efes","Partizan Mozzart Bet"
"g_3_QqDdeQwh","08.04. 17:30","Monaco","Lyon-Villeurbanne"
"g_3_fP4DirwH","09.04. 17:45","Fenerbahce","Real Madrid"
"g_3_Y9G4g484","09.04. 18:05","Hapoel Tel-Aviv","Olympiacos"
"g_3_0OWpZZMk","09.04. 18:30","Olimpia Milano","Bayern"
"g_3_nHCueHq9","09.04. 18:45","Valencia","Panathinaikos"
"g_3_fNPgXDi2","09.04. 19:00","Paris","Maccabi Tel Aviv"
"g_3_rq6lgeEL","10.04. 16:00","Dubai","Anadolu Efes"
"g_3_ERdKmZyq","10.04. 17:30","Monaco","Barcelona"
"g_3_Mcqypiy8","10.04. 18:30","Partizan Mozzart Bet","Zalgiris Kaunas"
"g_3_vZDLi3fE","10.04. 18:30","Virtus Bologna","Baskonia"
"g_3_zsoToD6e","10.04. 18:45","Lyon-Villeurbanne","Crvena Zvezda Meridianbet"
"g_3_CnCTksPQ","16.04. 18:00","Lyon-Villeurbanne","Fenerbahce"
"g_3_WWh0pLnl","16.04. 18:05","Maccabi Tel Aviv","Virtus Bologna"
"g_3_OvB7raH0","16.04. 18:15","Olympiacos","Olimpia Milano"
"g_3_pfaGtwnD","16.04. 18:30","Partizan Mozzart Bet","Baskonia"
"g_3_C0i24tvK","16.04. 18:45","Real Madrid","Crvena Zvezda Meridianbet"
"g_3_WpYYbK1s","17.04. 16:00","Dubai","Valencia"
"g_3_4bWtcbWg","17.04. 17:00","Zalgiris Kaunas","Paris"
"g_3_O0nrex16","17.04. 17:30","Monaco","Hapoel Tel-Aviv"
"g_3_WQkjgGVI","17.04. 18:15","Panathinaikos","Anadolu Efes"
"g_3_CMSxHJNP","17.04. 18:30","Barcelona","Bayern"
