País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,Iona vs Sacred Heart,---,Finalizado,https://www.flashscore.com/match/basketball/iona-gaels-Isx7mSXL/sacred-heart-6wqb5juM/?mid=MsSvyNo9
,,,Southern Miss vs James Madison,---,Finalizado,https://www.flashscore.com/match/basketball/james-madison-l6vzTQm0/southern-miss-04jZUQGl/?mid=MeHRrNCm
,,,Boca Juniors vs Obras Sanitarias,---,Postponed,https://www.flashscore.com/match/basketball/boca-juniors-pn7Cecgf/obras-sanitarias-nLruKIQK/?mid=r766Fk9C
,,,Boca Juniors vs Instituto de Cordoba,---,Finalizado,https://www.flashscore.com/match/basketball/boca-juniors-pn7Cecgf/instituto-de-cordoba-rJPlbMMq/?mid=pWaOOqw3
,,,Riachuelo W vs Bochas W,75-60,Finished,https://www.flashscore.com/match/basketball/bochas-4jhi4Wm4/riachuelo-EkowJIdh/?mid=AocjKUZF
,,,Shahrdari Gorgan vs Sagesse Beirut,---,Postponed,https://www.flashscore.com/match/basketball/sagesse-al-hekmeh-beirut-OxRjlt6O/shahrdari-gorgan-b508Jwq2/?mid=nD4OVeQ1
,,,Melbourne United vs Tasmania JackJumpers,82-68,Finished,https://www.flashscore.com/match/basketball/melbourne-united-CntvKeJI/tasmania-jackjumpers-nD8Kjitk/?mid=nN03YH1e
,,,Bauru vs Cearense,---,Finalizado,https://www.flashscore.com/match/basketball/bauru-hQH5u8zt/cearense-nercQR5s/?mid=WUw7szfT
,,,Caxias do Sul vs Uniao Corinthians,---,Finalizado,https://www.flashscore.com/match/basketball/caxias-do-sul-2Rx5IG9O/uniao-corinthians-4tVVeMVq/?mid=23ROaH9c
,,,Sao Jose vs Osasco,---,Finalizado,https://www.flashscore.com/match/basketball/osasco-dUXzF6rd/sao-jose-jBz9vSkn/?mid=GWzpDXrL
,,,Mogi vs Pinheiros,---,Finalizado,https://www.flashscore.com/match/basketball/mogi-AVKTsfyF/pinheiros-KfOswQZ4/?mid=OIFXcevA
,,,Windsor vs KW Titans,93-100,Finished,https://www.flashscore.com/match/basketball/kw-titans-z7mOQAtb/windsor-2ydyGOo1/?mid=Myz2FyL0
,,,Guangzhou vs Shandong,93-85,Finished,https://www.flashscore.com/match/basketball/guangzhou-long-lions-EgSoMkia/shandong-Iq4M7AiC/?mid=CnGThvaD
,,,USK Prague vs Slavia Prague,79-72,Finished,https://www.flashscore.com/match/basketball/slavia-prague-Cjh1xKbk/usk-prague-YHbV7s9o/?mid=2k0ceaFD
