matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5,matchLink
g_3_2DvhPPkC,05.01. 19:00,Venezia,Treviso,87,66,23,23,20,21,,21,18,14,13,,https://www.flashscore.com/match/basketball/treviso-SGAOCDed/venezia-nR1rGe9M/?mid=2DvhPPkC
g_3_YJXyT7jm,04.01. 19:00Awrd,Virtus Bologna,Trapani,20,0,,,,,,,,,,,https://www.flashscore.com/match/basketball/trapani-xxXaWq1q/virtus-bologna-YwDFycYd/?mid=YJXyT7jm
g_3_ra47gO6c,04.01. 18:00,Cantu,Tortona,79,85,27,17,18,17,,19,27,16,23,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/derthona-tortona-0OZBANVT/?mid=ra47gO6c
g_3_6ooqRoLa,04.01. 17:00,Olimpia Milano,Udine,85,84,15,24,15,31,,21,19,23,21,,https://www.flashscore.com/match/basketball/milan-tUT82gR9/udine-42obriQL/?mid=6ooqRoLa
g_3_d4amlTUH,04.01. 16:30,Cremona,Reggiana,71,67,18,19,15,19,,22,14,11,20,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/reggiana-4IvWGyfG/?mid=d4amlTUH
g_3_8UmXiBVh,04.01. 16:00,Trento,Trieste,89,87,20,16,30,23,,27,25,29,6,,https://www.flashscore.com/match/basketball/pallacanestro-trieste-f7SJ0Orj/trento-ITNxcZJl/?mid=8UmXiBVh
g_3_Gfiujk05,04.01. 15:00AOT,Sassari,Brescia,93,86,22,21,18,20,12,19,26,16,20,5,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/sassari-CQMh2ve4/?mid=Gfiujk05
g_3_SjMKVKEj,03.01. 17:15,Varese,Basket Napoli,84,80,20,18,24,22,,18,24,18,20,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/varese-4hrT8BJq/?mid=SjMKVKEj
g_3_lnd5YTSP,29.12. 19:30,Trieste,Virtus Bologna,66,74,22,17,13,14,,25,19,11,19,,https://www.flashscore.com/match/basketball/pallacanestro-trieste-f7SJ0Orj/virtus-bologna-YwDFycYd/?mid=lnd5YTSP
g_3_4z65wCGa,29.12. 19:00,Olimpia Milano,Cremona,91,74,27,16,29,19,,12,19,19,24,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/milan-tUT82gR9/?mid=4z65wCGa
g_3_88CduYom,28.12. 18:00,Trapani,Varese,88,95,19,26,19,24,,22,25,27,21,,https://www.flashscore.com/match/basketball/trapani-xxXaWq1q/varese-4hrT8BJq/?mid=88CduYom
g_3_nFaOgX0t,28.12. 17:30,Basket Napoli,Cantu,98,86,21,30,21,26,,21,19,17,29,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/cantu-4jexwVmq/?mid=nFaOgX0t
g_3_xl4DyjoC,28.12. 17:00,Tortona,Reggiana,81,67,14,22,23,22,,17,14,19,17,,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/reggiana-4IvWGyfG/?mid=xl4DyjoC
g_3_djKEZTFO,28.12. 16:00,Treviso,Sassari,89,92,18,19,24,28,,18,24,26,24,,https://www.flashscore.com/match/basketball/sassari-CQMh2ve4/treviso-SGAOCDed/?mid=djKEZTFO
g_3_xQLQpfOP,28.12. 15:00,Brescia,Venezia,104,93,25,29,21,29,,18,24,31,20,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/venezia-nR1rGe9M/?mid=xQLQpfOP
g_3_Mu4JAQzJ,27.12. 19:00,Trento,Udine,75,82,15,16,20,24,,21,24,13,24,,https://www.flashscore.com/match/basketball/trento-ITNxcZJl/udine-42obriQL/?mid=Mu4JAQzJ
g_3_h0C2E8yf,22.12. 19:30,Virtus Bologna,Brescia,86,76,18,23,25,20,,21,17,15,23,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/virtus-bologna-YwDFycYd/?mid=h0C2E8yf
g_3_jXuWOC16,21.12. 19:00,Varese,Trieste,84,69,13,19,28,24,,11,26,11,21,,https://www.flashscore.com/match/basketball/pallacanestro-trieste-f7SJ0Orj/varese-4hrT8BJq/?mid=jXuWOC16
g_3_f5nNQYWg,21.12. 18:00,Reggiana,Trento,77,68,19,23,19,16,,16,19,15,18,,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/trento-ITNxcZJl/?mid=f5nNQYWg
g_3_MilFSf2s,21.12. 17:00,Cremona,Tortona,71,76,20,16,14,21,,22,23,19,12,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/derthona-tortona-0OZBANVT/?mid=MilFSf2s
g_3_dUrvNjWI,21.12. 16:00,Udine,Treviso,86,79,24,21,21,20,,21,19,21,18,,https://www.flashscore.com/match/basketball/treviso-SGAOCDed/udine-42obriQL/?mid=dUrvNjWI
g_3_Aa5cADnD,21.12. 15:00,Venezia,Basket Napoli,106,96,30,23,27,26,,29,19,18,30,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/venezia-nR1rGe9M/?mid=Aa5cADnD
g_3_277rYGvK,21.12. 11:00,Sassari,Trapani,102,78,33,18,27,24,,15,19,17,27,,https://www.flashscore.com/match/basketball/sassari-CQMh2ve4/trapani-xxXaWq1q/?mid=277rYGvK
g_3_QDAACn66,20.12. 19:00,Cantu,Olimpia Milano,89,94,22,25,23,19,,29,25,15,25,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/milan-tUT82gR9/?mid=QDAACn66
g_3_SISNLjqK,14.12. 19:00,Olimpia Milano,Virtus Bologna,74,63,21,14,23,16,,11,24,14,14,,https://www.flashscore.com/match/basketball/milan-tUT82gR9/virtus-bologna-YwDFycYd/?mid=SISNLjqK
g_3_tKDtEeml,14.12. 18:00,Treviso,Cantu,86,81,20,25,12,29,,24,17,13,27,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/treviso-SGAOCDed/?mid=tKDtEeml
