País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
ISRAEL,Liga Leumit,https://www.flashscore.com/basketball/israel/liga-leumit/,Maccabi Maale Adumim vs Maccabi Petah Tikva,68-89,Finalizado,https://www.flashscore.com/match/basketball/maccabi-maale-adumim-CAU3l6be/maccabi-petah-tikva-vsasraHm/?mid=0WreWsLG,
ISRAEL,Liga Leumit,https://www.flashscore.com/basketball/israel/liga-leumit/,Otef Darom vs Elitzur Shomron,66-73,Finalizado,https://www.flashscore.com/match/basketball/elitzur-shomron-E5JX7s8B/otef-darom-jBQofVJj/?mid=I7FLn35c,
ISRAEL,Liga Leumit,https://www.flashscore.com/basketball/israel/liga-leumit/,Ramat Hasharon vs Migdal Haemek,107-93,Finalizado,https://www.flashscore.com/match/basketball/hapoel-migdal-haemek-dAyQo0Ti/ramat-hasharon-MkMgsJWg/?mid=WjivzQLi,
ISRAEL,WBL Women - Play Offs,https://www.flashscore.com/basketball/israel/wbl-women/,Holon W vs Hapoel Rishon LeZion W,60-82,Finalizado,https://www.flashscore.com/match/basketball/elitzur-maclaren-holon-2sXpYzoQ/hapoel-rishon-lezion-hzJiDsui/?mid=KMXljZMP,
LITHUANIA,NKL - Play Offs,https://www.flashscore.com/basketball/lithuania/nkl/,Vytis VDU vs Vilkaviskis,86-75,Finalizado,https://www.flashscore.com/match/basketball/vilkaviskis-lOX4i4lJ/vytis-vdu-p4y93QcC/?mid=fwTts6KH,
LITHUANIA,Moteru Lyga Women - Play Offs,https://www.flashscore.com/basketball/lithuania/moteru-lyga-women/,Klaipedos Neptunas W vs Kibirkstis Vilnius W,61-82,Finalizado,https://www.flashscore.com/match/basketball/kibirkstis-vilnius-bywkUuHl/klaipedos-neptunas-fgss5FUm/?mid=ryPKLXN9,
LITHUANIA,Moteru Lyga Women - Play Offs,https://www.flashscore.com/basketball/lithuania/moteru-lyga-women/,LCC W vs Siauliai W,52-92,Finalizado,https://www.flashscore.com/match/basketball/lcc-university-K4ZSCBGd/siauliai-ptmDPzB5/?mid=GlNSJBhM,
MONTENEGRO,Prva A Liga - Play Offs,https://www.flashscore.com/basketball/montenegro/prva-a-liga/,Mornar Bar vs Buducnost,76-103,Finalizado,https://www.flashscore.com/match/basketball/buducnost-6s1E9IqE/mornar-bar-0nP2jBEO/?mid=vFGPNVmd,
NORTH MACEDONIA,Super League - Play Out,https://www.flashscore.com/basketball/north-macedonia/super-league/,Gostivar vs Cair 2030,107-72,Finalizado,https://www.flashscore.com/match/basketball/cair-2030-xnox9JUe/gostivar-rZPyyNd2/?mid=rm30UqKb,
PARAGUAY,LNB - Apertura,https://www.flashscore.com/basketball/paraguay/lnb/,Ciudad Nueva vs Deportivo Amambay,VS,Finalizado,https://www.flashscore.com/match/basketball/ciudad-nueva-SOBPXXxe/deportivo-amambay-AoYq4poR/?mid=0GggXkiU,23:30
