matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5,matchLink
g_3_MZ0IWAs2,25.01. 11:00,Manresa,MoraBanc Andorra,91,84,19,33,14,25,,22,19,17,26,,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/morabanc-andorra-AeB582X0/?mid=MZ0IWAs2
g_3_WzuvohqT,24.01. 20:00AOT,Granada,Bilbao,84,88,19,19,25,15,6,20,23,24,11,10,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/fundacion-granada-AgZ54n21/?mid=WzuvohqT
g_3_S6Q9uW6j,24.01. 19:00,Forca Lleida,San Pablo Burgos,73,72,16,15,24,18,,23,20,15,14,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/san-pablo-burgos-MNsJGyjB/?mid=S6Q9uW6j
g_3_8U5xx6Js,24.01. 18:00,Breogan,Real Madrid,85,103,19,24,22,20,,19,24,27,33,,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/rio-breogan-tW3U1TQ8/?mid=8U5xx6Js
g_3_z9oVnEEG,24.01. 17:00,Basket Zaragoza,Basquet Girona,90,94,22,29,13,26,,26,19,24,25,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/zaragoza-SGiReo1g/?mid=z9oVnEEG
g_3_0rFNsyj3,18.01. 18:00,Real Madrid,Valencia,94,79,9,34,33,18,,24,19,17,19,,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/valencia-6w8lqYGE/?mid=0rFNsyj3
g_3_SxaEjdFi,18.01. 17:00,Murcia,Basket Zaragoza,90,84,18,27,32,13,,24,10,20,30,,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/zaragoza-SGiReo1g/?mid=SxaEjdFi
g_3_EkZSLgTq,18.01. 16:00,Baskonia,Manresa,130,85,35,39,27,29,,24,18,17,26,,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/saski-baskonia-8zQPdU9R/?mid=EkZSLgTq
g_3_tnQeYEaN,18.01. 11:30,Joventut Badalona,Basquet Girona,71,74,16,13,18,24,,17,14,22,21,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/joventut-badalona-Sn9ppE18/?mid=tnQeYEaN
g_3_dA8WuFKF,18.01. 11:00,San Pablo Burgos,Barcelona,79,80,19,19,18,23,,12,21,24,23,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/san-pablo-burgos-MNsJGyjB/?mid=dA8WuFKF
g_3_0W6SShNp,17.01. 20:00,Bilbao,Tenerife,95,78,24,31,17,23,,21,12,21,24,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/tenerife-OfgZ0mtF/?mid=0W6SShNp
g_3_8YRmzyVA,17.01. 19:00,Gran Canaria,Forca Lleida,50,68,4,19,9,18,,16,13,15,24,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/gran-canaria-QmfIiWgr/?mid=8YRmzyVA
g_3_8lSyKXcd,17.01. 18:00,MoraBanc Andorra,Breogan,101,104,25,31,24,21,,25,19,34,26,,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/rio-breogan-tW3U1TQ8/?mid=8lSyKXcd
g_3_lhmNlzp4,17.01. 17:00,Unicaja,Granada,88,79,24,13,24,27,,12,26,21,20,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/unicaja-K6HkdCoR/?mid=lhmNlzp4
g_3_fqaH9jvK,12.01. 19:30,Valencia,Basket Zaragoza,115,73,32,18,34,31,,25,17,19,12,,https://www.flashscore.com/match/basketball/valencia-6w8lqYGE/zaragoza-SGiReo1g/?mid=fqaH9jvK
g_3_ERjtVc6c,11.01. 17:00,Basquet Girona,Baskonia,85,96,16,25,25,19,,22,20,25,29,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/saski-baskonia-8zQPdU9R/?mid=ERjtVc6c
g_3_MiflTyyA,11.01. 17:00,MoraBanc Andorra,Real Madrid,85,90,21,20,17,27,,13,27,21,29,,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/real-madrid-MP6gLUO7/?mid=MiflTyyA
g_3_zqn17fEj,11.01. 16:00,Barcelona,Granada,108,71,26,35,25,22,,22,12,16,21,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/fundacion-granada-AgZ54n21/?mid=zqn17fEj
g_3_69VWwJVo,11.01. 11:00,San Pablo Burgos,Joventut Badalona,95,98,19,29,25,22,,24,28,22,24,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/san-pablo-burgos-MNsJGyjB/?mid=69VWwJVo
g_3_hnZ3oJN5,10.01. 20:00,Manresa,Breogan,104,99,28,34,20,22,,23,15,30,31,,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/rio-breogan-tW3U1TQ8/?mid=hnZ3oJN5
g_3_6P7CsyNU,10.01. 19:00,Tenerife,Forca Lleida,87,94,28,21,22,16,,19,20,31,24,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/tenerife-OfgZ0mtF/?mid=6P7CsyNU
g_3_EZYvxc0b,10.01. 18:00,Bilbao,Murcia,96,82,18,23,23,32,,17,23,15,27,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/murcia-Sju1Skf8/?mid=EZYvxc0b
g_3_r7rcRF5M,10.01. 17:30,Valencia,Unicaja,70,76,25,14,12,19,,21,15,21,19,,https://www.flashscore.com/match/basketball/unicaja-K6HkdCoR/valencia-6w8lqYGE/?mid=r7rcRF5M
g_3_ba44qchI,10.01. 17:00,Basket Zaragoza,Gran Canaria,95,84,18,25,27,25,,19,22,16,27,,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/zaragoza-SGiReo1g/?mid=ba44qchI
g_3_KYzdmugg,04.01. 18:00,Valencia,Manresa,103,76,30,26,22,25,,22,20,21,13,,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/valencia-6w8lqYGE/?mid=KYzdmugg
g_3_vHftgAPE,04.01. 17:00,Basquet Girona,Bilbao,89,93,22,26,18,23,,16,26,20,31,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/bilbao-GWZ15Sne/?mid=vHftgAPE
g_3_ro7MExMG,04.01. 16:00,Baskonia,MoraBanc Andorra,99,92,30,21,20,28,,20,23,31,18,,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/saski-baskonia-8zQPdU9R/?mid=ro7MExMG
g_3_xCxTq6n1,04.01. 16:00,Forca Lleida,Basket Zaragoza,77,87,13,21,20,23,,22,22,13,30,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/zaragoza-SGiReo1g/?mid=xCxTq6n1
g_3_vD0VCGjT,04.01. 11:30,Real Madrid,Barcelona,100,105,24,20,31,25,,28,20,29,28,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/real-madrid-MP6gLUO7/?mid=vD0VCGjT
g_3_O6smk1Ot,03.01. 20:00,Breogan,Unicaja,98,82,22,28,22,26,,25,18,17,22,,https://www.flashscore.com/match/basketball/rio-breogan-tW3U1TQ8/unicaja-K6HkdCoR/?mid=O6smk1Ot
g_3_WEZKoSHl,03.01. 19:00,Gran Canaria,Murcia,77,72,19,24,16,18,,18,26,8,20,,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/murcia-Sju1Skf8/?mid=WEZKoSHl
g_3_CUhlilfR,03.01. 18:00,Granada,San Pablo Burgos,90,107,19,22,33,16,,33,22,24,28,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/san-pablo-burgos-MNsJGyjB/?mid=CUhlilfR
g_3_bRQyrpHD,03.01. 17:00,Joventut Badalona,Tenerife,78,67,18,24,19,17,,19,14,21,13,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/tenerife-OfgZ0mtF/?mid=bRQyrpHD
g_3_2H8KfHUp,02.01. 20:00,Manresa,Basquet Girona,95,97,25,34,22,14,,29,19,30,19,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/manresa-KAm6vlvR/?mid=2H8KfHUp
g_3_rXRm0w7N,02.01. 19:00,Barcelona,Basket Zaragoza,100,80,21,27,25,27,,22,11,22,25,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/zaragoza-SGiReo1g/?mid=rXRm0w7N
g_3_E5F5IKMi,02.01. 18:00,MoraBanc Andorra,Forca Lleida,79,87,21,16,24,18,,15,19,30,23,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/morabanc-andorra-AeB582X0/?mid=E5F5IKMi
g_3_zL3EGbi4,02.01. 17:00,Bilbao,Valencia,72,116,11,24,18,19,,24,13,36,43,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/valencia-6w8lqYGE/?mid=zL3EGbi4
g_3_xhEoXS2e,30.12. 20:00,Murcia,Real Madrid,80,91,18,14,23,25,,22,19,26,24,,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/real-madrid-MP6gLUO7/?mid=xhEoXS2e
g_3_lSubtXu9,30.12. 19:00,Tenerife,Granada,80,75,18,20,23,19,,19,19,22,15,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/tenerife-OfgZ0mtF/?mid=lSubtXu9
g_3_O8CgV6X7,30.12. 18:00,Unicaja,Joventut Badalona,105,83,21,24,26,34,,21,21,23,18,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/unicaja-K6HkdCoR/?mid=O8CgV6X7
g_3_GxQxZlYr,30.12. 17:00,San Pablo Burgos,Gran Canaria,94,81,20,18,27,29,,20,18,22,21,,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/san-pablo-burgos-MNsJGyjB/?mid=GxQxZlYr
g_3_pfZ6vBAL,29.12. 19:00,Breogan,Baskonia,100,103,25,23,30,22,,18,32,27,26,,https://www.flashscore.com/match/basketball/rio-breogan-tW3U1TQ8/saski-baskonia-8zQPdU9R/?mid=pfZ6vBAL
g_3_EizX3L7b,28.12. 18:00,Real Madrid,Unicaja,91,82,27,19,25,20,,30,24,12,16,,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/unicaja-K6HkdCoR/?mid=EizX3L7b
g_3_AJTu2axB,28.12. 17:00,Valencia,MoraBanc Andorra,84,79,18,14,21,31,,16,29,12,22,,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/valencia-6w8lqYGE/?mid=AJTu2axB
g_3_dYhCITm2,28.12. 16:00,Bilbao,Barcelona,66,71,25,8,13,20,,16,18,15,22,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/bilbao-GWZ15Sne/?mid=dYhCITm2
g_3_GOp4KkJk,28.12. 12:00,Tenerife,Gran Canaria,70,71,13,16,19,22,,9,21,26,15,,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/tenerife-OfgZ0mtF/?mid=GOp4KkJk
g_3_xIcx6j4d,28.12. 11:00,Basquet Girona,Forca Lleida,103,86,33,21,24,25,,24,20,25,17,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/forca-lleida-djAofPme/?mid=xIcx6j4d
g_3_ptfYPBeS,27.12. 20:00,Joventut Badalona,Breogan,83,75,17,26,11,29,,18,17,19,21,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/rio-breogan-tW3U1TQ8/?mid=ptfYPBeS
g_3_OQ5PRXQF,27.12. 19:00,Granada,Murcia,79,86,19,24,22,14,,18,23,21,24,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/murcia-Sju1Skf8/?mid=OQ5PRXQF
g_3_G02HTgd3,27.12. 18:00,Basket Zaragoza,Manresa,83,95,16,12,28,27,,17,17,28,33,,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/zaragoza-SGiReo1g/?mid=G02HTgd3
g_3_44aU7CZq,27.12. 17:00,Baskonia,San Pablo Burgos,89,77,28,26,18,17,,16,20,20,21,,https://www.flashscore.com/match/basketball/san-pablo-burgos-MNsJGyjB/saski-baskonia-8zQPdU9R/?mid=44aU7CZq
g_3_SzxP5swn,21.12. 18:00,Unicaja,Baskonia,90,93,25,26,25,14,,23,20,22,28,,https://www.flashscore.com/match/basketball/saski-baskonia-8zQPdU9R/unicaja-K6HkdCoR/?mid=SzxP5swn
g_3_pEwd28Wg,21.12. 17:00,Basket Zaragoza,MoraBanc Andorra,107,89,18,27,27,35,,21,30,18,20,,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/zaragoza-SGiReo1g/?mid=pEwd28Wg
g_3_l6zDbQVI,21.12. 16:00,Murcia,Valencia,92,80,19,22,22,29,,21,13,21,25,,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/valencia-6w8lqYGE/?mid=l6zDbQVI
g_3_C0ul4U1s,21.12. 11:30,Barcelona,Joventut Badalona,90,80,26,8,31,25,,17,23,15,25,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/joventut-badalona-Sn9ppE18/?mid=C0ul4U1s
g_3_xfFkFfsA,21.12. 11:00,Breogan,Bilbao,100,99,21,24,26,29,,23,24,22,30,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/rio-breogan-tW3U1TQ8/?mid=xfFkFfsA
g_3_pKIcDYBM,20.12. 20:00AOT,San Pablo Burgos,Manresa,100,102,30,21,22,17,10,25,27,28,10,12,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/san-pablo-burgos-MNsJGyjB/?mid=pKIcDYBM
g_3_ttX40n16,20.12. 18:00,Forca Lleida,Real Madrid,81,88,19,24,24,14,,28,18,20,22,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/real-madrid-MP6gLUO7/?mid=ttX40n16
g_3_GvRtHGCc,20.12. 18:00,Gran Canaria,Granada,90,85,13,26,26,25,,26,13,22,24,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/gran-canaria-QmfIiWgr/?mid=GvRtHGCc
g_3_j1ZfgDKj,20.12. 17:00,Basquet Girona,Tenerife,89,96,21,23,31,14,,22,27,24,23,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/tenerife-OfgZ0mtF/?mid=j1ZfgDKj
g_3_URdjeiPQ,14.12. 18:00,Manresa,Barcelona,62,89,21,16,17,8,,28,22,21,18,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/manresa-KAm6vlvR/?mid=URdjeiPQ
g_3_Sx7VomnD,14.12. 16:00,Real Madrid,Basquet Girona,112,76,28,31,27,26,,22,27,16,11,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/real-madrid-MP6gLUO7/?mid=Sx7VomnD
g_3_OnJEDs65,14.12. 11:30,Murcia,Joventut Badalona,80,77,19,13,25,23,,25,13,16,23,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/murcia-Sju1Skf8/?mid=OnJEDs65
g_3_SKP5F3yg,14.12. 11:00,Bilbao,Forca Lleida,93,75,15,17,32,29,,17,14,26,18,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/forca-lleida-djAofPme/?mid=SKP5F3yg
g_3_6NIMm9H0,13.12. 20:00,MoraBanc Andorra,Granada,86,81,22,20,26,18,,22,25,18,16,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/morabanc-andorra-AeB582X0/?mid=6NIMm9H0
g_3_fgCbHP6t,13.12. 18:00,Breogan,Tenerife,96,108,24,27,20,25,,33,26,22,27,,https://www.flashscore.com/match/basketball/rio-breogan-tW3U1TQ8/tenerife-OfgZ0mtF/?mid=fgCbHP6t
g_3_d0HMBLzI,13.12. 17:00,Unicaja,San Pablo Burgos,99,91,17,24,27,31,,21,22,28,20,,https://www.flashscore.com/match/basketball/san-pablo-burgos-MNsJGyjB/unicaja-K6HkdCoR/?mid=d0HMBLzI
g_3_WCQkiN6e,07.12. 18:00,Baskonia,Valencia,89,91,17,27,16,29,,20,19,23,29,,https://www.flashscore.com/match/basketball/saski-baskonia-8zQPdU9R/valencia-6w8lqYGE/?mid=WCQkiN6e
g_3_junlcMLO,07.12. 17:00,Bilbao,Gran Canaria,79,72,14,20,21,24,,16,18,21,17,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/gran-canaria-QmfIiWgr/?mid=junlcMLO
g_3_Acxsgqxq,07.12. 16:00,Barcelona,MoraBanc Andorra,102,71,16,22,35,29,,14,16,21,20,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/morabanc-andorra-AeB582X0/?mid=Acxsgqxq
g_3_dEbrcDfE,07.12. 12:00,Tenerife,Real Madrid,70,71,16,9,23,22,,18,15,16,22,,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/tenerife-OfgZ0mtF/?mid=dEbrcDfE
g_3_vwUck1y8,07.12. 11:00,Joventut Badalona,Manresa,83,79,16,13,29,25,,19,20,22,18,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/manresa-KAm6vlvR/?mid=vwUck1y8
g_3_dIAh8nUP,06.12. 20:00,Basquet Girona,Breogan,103,80,30,30,24,19,,14,16,23,27,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/rio-breogan-tW3U1TQ8/?mid=dIAh8nUP
g_3_EZjP2Qim,06.12. 19:00,Granada,Basket Zaragoza,83,92,17,15,27,24,,21,27,21,23,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/zaragoza-SGiReo1g/?mid=EZjP2Qim
g_3_nmkX04Ma,06.12. 18:00,Forca Lleida,Unicaja,88,89,20,17,29,22,,21,30,18,20,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/unicaja-K6HkdCoR/?mid=nmkX04Ma
g_3_rFrtariC,06.12. 17:00,San Pablo Burgos,Murcia,88,110,20,26,27,15,,28,30,28,24,,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/san-pablo-burgos-MNsJGyjB/?mid=rFrtariC
